"Hogar","Trabajo","Ocio","Otros","tick"
52.0,21.0,16.0,9.0,12.0
51.0,21.0,18.0,9.0,24.0
50.0,37.0,8.0,3.0,36.0
51.0,35.0,9.0,3.0,48.0
50.0,36.0,9.0,3.0,60.0
51.0,36.0,8.0,3.0,72.0
50.0,37.0,8.0,3.0,84.0
53.0,19.0,16.0,9.0,96.0
52.0,20.0,17.0,9.0,108.0
52.0,36.0,8.0,3.0,120.0
51.0,35.0,9.0,3.0,132.0
51.0,36.0,8.0,3.0,144.0
50.0,37.0,9.0,3.0,156.0
51.0,37.0,8.0,3.0,168.0
51.0,20.0,18.0,9.0,180.0
52.0,21.0,17.0,9.0,192.0
51.0,37.0,8.0,3.0,204.0
51.0,36.0,8.0,3.0,216.0
51.0,37.0,8.0,3.0,228.0
51.0,36.0,9.0,3.0,240.0
50.0,37.0,8.0,3.0,252.0
52.0,21.0,16.0,9.0,264.0
52.0,21.0,17.0,8.0,276.0
50.0,37.0,8.0,3.0,288.0
51.0,36.0,8.0,3.0,300.0
51.0,36.0,9.0,3.0,312.0
51.0,36.0,9.0,3.0,324.0
51.0,36.0,8.0,3.0,336.0
52.0,20.0,17.0,9.0,348.0
53.0,20.0,17.0,8.0,360.0
51.0,36.0,8.0,3.0,372.0
50.0,37.0,8.0,3.0,384.0
50.0,37.0,9.0,3.0,396.0
50.0,36.0,9.0,3.0,408.0
50.0,37.0,8.0,3.0,420.0
52.0,21.0,16.0,8.0,432.0
52.0,21.0,16.0,9.0,444.0
49.0,38.0,8.0,2.0,456.0
49.0,37.0,9.0,3.0,468.0
49.0,38.0,9.0,3.0,480.0
49.0,38.0,8.0,3.0,492.0
48.0,38.0,9.0,3.0,504.0
50.0,23.0,16.0,8.0,516.0
49.0,24.0,16.0,8.0,528.0
48.0,39.0,8.0,3.0,540.0
49.0,38.0,8.0,3.0,552.0
49.0,37.0,9.0,3.0,564.0
50.0,37.0,9.0,3.0,576.0
49.0,37.0,9.0,3.0,588.0
50.0,23.0,17.0,8.0,600.0
48.0,24.0,17.0,8.0,612.0
47.0,40.0,8.0,2.0,624.0
46.0,40.0,9.0,3.0,636.0
46.0,40.0,9.0,3.0,648.0
46.0,40.0,9.0,3.0,660.0
47.0,40.0,9.0,2.0,672.0
46.0,28.0,16.0,7.0,684.0
47.0,27.0,17.0,8.0,696.0
49.0,38.0,9.0,3.0,708.0
49.0,38.0,9.0,3.0,720.0
49.0,38.0,9.0,3.0,732.0
49.0,38.0,8.0,3.0,744.0
48.0,39.0,9.0,3.0,756.0
50.0,24.0,16.0,8.0,768.0
49.0,24.0,17.0,8.0,780.0
48.0,39.0,8.0,3.0,792.0
47.0,39.0,9.0,3.0,804.0
47.0,40.0,9.0,3.0,816.0
48.0,39.0,9.0,2.0,828.0
48.0,40.0,8.0,2.0,840.0
47.0,28.0,15.0,7.0,852.0
47.0,27.0,16.0,8.0,864.0
47.0,40.0,9.0,3.0,876.0
47.0,39.0,9.0,2.0,888.0
48.0,39.0,9.0,2.0,900.0
47.0,40.0,8.0,2.0,912.0
48.0,39.0,9.0,2.0,924.0
46.0,28.0,16.0,8.0,936.0
46.0,27.0,17.0,8.0,948.0
49.0,39.0,8.0,2.0,960.0
48.0,38.0,9.0,3.0,972.0
49.0,38.0,8.0,3.0,984.0
50.0,37.0,8.0,3.0,996.0
50.0,37.0,9.0,2.0,1008.0
49.0,24.0,16.0,8.0,1020.0
48.0,25.0,17.0,8.0,1032.0
48.0,39.0,8.0,2.0,1044.0
50.0,38.0,8.0,2.0,1056.0
49.0,38.0,9.0,3.0,1068.0
49.0,38.0,8.0,2.0,1080.0
48.0,39.0,9.0,3.0,1092.0
50.0,23.0,18.0,8.0,1104.0
50.0,24.0,16.0,8.0,1116.0
48.0,40.0,8.0,2.0,1128.0
48.0,39.0,8.0,2.0,1140.0
47.0,39.0,9.0,2.0,1152.0
47.0,39.0,8.0,3.0,1164.0
48.0,39.0,9.0,3.0,1176.0
47.0,27.0,16.0,8.0,1188.0
48.0,26.0,16.0,8.0,1200.0
47.0,41.0,8.0,3.0,1212.0
47.0,40.0,8.0,3.0,1224.0
47.0,39.0,9.0,3.0,1236.0
47.0,40.0,8.0,3.0,1248.0
48.0,38.0,9.0,2.0,1260.0
47.0,28.0,16.0,7.0,1272.0
47.0,28.0,15.0,8.0,1284.0
48.0,39.0,8.0,3.0,1296.0
48.0,39.0,9.0,2.0,1308.0
48.0,39.0,8.0,3.0,1320.0
47.0,40.0,8.0,2.0,1332.0
49.0,38.0,8.0,2.0,1344.0
46.0,30.0,15.0,8.0,1356.0
48.0,28.0,15.0,7.0,1368.0
48.0,39.0,9.0,3.0,1380.0
48.0,39.0,8.0,2.0,1392.0
48.0,39.0,8.0,3.0,1404.0
48.0,39.0,9.0,2.0,1416.0
48.0,39.0,8.0,3.0,1428.0
48.0,27.0,16.0,7.0,1440.0
47.0,27.0,16.0,8.0,1452.0
48.0,39.0,9.0,2.0,1464.0
48.0,39.0,9.0,2.0,1476.0
49.0,39.0,8.0,2.0,1488.0
48.0,39.0,8.0,2.0,1500.0
48.0,39.0,8.0,3.0,1512.0
47.0,28.0,15.0,8.0,1524.0
47.0,29.0,15.0,7.0,1536.0
48.0,40.0,8.0,3.0,1548.0
48.0,39.0,8.0,3.0,1560.0
48.0,39.0,8.0,3.0,1572.0
48.0,39.0,9.0,3.0,1584.0
47.0,40.0,9.0,3.0,1596.0
47.0,27.0,16.0,7.0,1608.0
47.0,28.0,15.0,7.0,1620.0
47.0,40.0,8.0,2.0,1632.0
47.0,40.0,8.0,3.0,1644.0
48.0,39.0,9.0,2.0,1656.0
49.0,39.0,8.0,3.0,1668.0
48.0,39.0,9.0,2.0,1680.0
46.0,28.0,16.0,7.0,1692.0
47.0,28.0,16.0,7.0,1704.0
48.0,40.0,8.0,2.0,1716.0
49.0,38.0,9.0,3.0,1728.0
47.0,39.0,9.0,3.0,1740.0
48.0,38.0,9.0,2.0,1752.0
49.0,39.0,8.0,3.0,1764.0
47.0,28.0,15.0,7.0,1776.0
47.0,28.0,16.0,7.0,1788.0
48.0,39.0,9.0,3.0,1800.0
48.0,39.0,8.0,3.0,1812.0
48.0,39.0,8.0,3.0,1824.0
47.0,40.0,8.0,3.0,1836.0
49.0,38.0,8.0,2.0,1848.0
48.0,27.0,15.0,7.0,1860.0
47.0,28.0,15.0,8.0,1872.0
48.0,39.0,8.0,2.0,1884.0
49.0,39.0,8.0,3.0,1896.0
48.0,39.0,9.0,2.0,1908.0
48.0,39.0,9.0,2.0,1920.0
